transaction_id,products
45,"marshmallows,chocolate bar,crayons,bluetooth headset"
46,coloring book
47,"marshmallows,phone charger"
48,"phone case,crayons,bluetooth headset,phone charger,phone,coloring book"
49,"crayons,shampoo,bluetooth headset,phone charger,phone,conditioner,pillow"
50,"sparklers,shampoo,phone charger,coloring book"
51,pillow
52,"marshmallows,phone case,shampoo,RC car,phone charger,bluetooth headset,conditioner"
53,"laptop charger,marshmallows,shampoo,graham crackers"
54,"graham crackers,RC car,marshmallows,pillow,tent"
55,"phone case,phone charger,crayons,phone"
56,"phone,bluetooth headset"
57,"conditioner,chocolate bar,phone case,crayons,bluetooth headset"
58,"RC car,pillowcase,batteries"
59,"marshmallows,crayons,phone charger,phone"
60,"sparklers,pillow,shampoo,twin XL sheet set"
61,"grill brush,sparklers,crayons"
62,"twin XL sheet set,shower caddy,crayons,calculus textbook"
63,"phone case,shampoo,grill brush,sleeping bag,charcoal,decorations,conditioner,sparklers"
64,"graham crackers,shampoo,laptop,conditioner,coloring book,laptop case"
65,"coloring book,chocolate bar,pillow,shampoo,conditioner"
66,"pillow,decorations,pillowcase"
67,"graham crackers,chocolate bar,phone case,phone"
68,"mini-fridge,shower caddy,phone charger,twin XL sheet set"
69,"phone case,laptop,bluetooth headset"
70,"phone,phone case,phone charger,pillowcase,bluetooth headset"
71,"mini-fridge,chocolate bar,shampoo,conditioner"
72,"marshmallows,chocolate bar,shampoo,crayons"
73,"crayons,phone,shampoo,bluetooth headset,coloring book,chocolate bar,pillow"
74,external hard drive
75,"phone case,external hard drive,calculus textbook"
76,"phone,conditioner,phone charger,pillowcase,graham crackers"
77,"RC car,pillow,phone charger,bluetooth headset"
78,"sleeping bag,phone case,shampoo,phone charger,bluetooth headset"
79,batteries
80,"twin XL sheet set,shampoo,mini-fridge,sleeping bag,conditioner,calculus textbook"
81,"bluetooth headset,phone case,shampoo,conditioner"
82,"RC car,phone case,shampoo,conditioner"
83,"phone,conditioner"
84,"phone case,graham crackers,shampoo,bluetooth headset,laptop,phone,phone charger,conditioner"
85,"marshmallows,shampoo,RC car,bluetooth headset,chocolate bar,pillow"
86,"bluetooth headset,conditioner,tin foil hat,phone charger,phone case"
87,"laptop charger,shower caddy,pillow,laptop case,pillowcase"
88,"pillow,shampoo,phone case"
89,"shampoo,crayons"
90,"external hard drive,charcoal,shampoo,crayons,bluetooth headset"
91,"marshmallows,chocolate bar"
92,"phone,grill brush,pillowcase,bluetooth headset,laptop charger,sparklers,pillow,batteries"
93,"mini-fridge,charcoal,external hard drive,phone case,bluetooth headset"
94,"chocolate bar,pillowcase"
95,"phone case,phone,bluetooth headset,phone charger,coloring book,laptop,pillow"
96,"grill brush,bluetooth headset"
97,"marshmallows,chocolate bar,shampoo,conditioner"
98,"marshmallows,chocolate bar,phone case"
99,"coloring book,sparklers,crayons,graham crackers"
100,"sparklers,pillow,shampoo"
101,"sparklers,conditioner,crayons,coloring book"
102,"RC car,shampoo,batteries"
103,"chocolate bar,tin foil hat,external hard drive,graham crackers"
104,"phone case,phone,pillowcase,bluetooth headset,phone charger,pillow"
105,"RC car,phone,chocolate bar,marshmallows,graham crackers"
106,"batteries,phone case,phone charger,phone"
107,"marshmallows,graham crackers,shampoo,RC car,phone charger,chocolate bar,batteries"
108,"bluetooth headset,phone charger,phone"
109,"pillowcase,crayons,coloring book"
110,"RC car,tin foil hat,pillow,batteries"
111,conditioner
112,"bluetooth headset,phone case,batteries"
113,"bluetooth headset,marshmallows,sparklers,phone case,phone"
114,"crayons,pillow,pillowcase,calculus textbook"
115,"phone case,crayons,coloring book"
116,"RC car,marshmallows,shampoo,laptop,conditioner"
117,"external hard drive,shampoo,conditioner"
118,"conditioner,tent,bluetooth headset,pillow,batteries"
119,"phone case,crayons,phone,laptop,bluetooth headset,phone charger,coloring book"
120,shampoo
121,"phone case,graham crackers,phone,twin XL sheet set,RC car,pillowcase,bluetooth headset,phone charger,calculus textbook"
122,"marshmallows,chocolate bar"
123,marshmallows
124,"bluetooth headset,marshmallows,chocolate bar,phone charger,graham crackers"
125,"RC car,shampoo,conditioner"
126,"phone case,shampoo,crayons,calculus textbook"
127,"phone case,shampoo,bluetooth headset,laptop,phone,pillowcase"
128,"phone,crayons,phone case,phone charger,bluetooth headset"
129,"tin foil hat,marshmallows,chocolate bar,phone case,graham crackers"
130,"RC car,chocolate bar,phone case,phone charger,phone"
131,"marshmallows,phone case,phone,phone charger,bluetooth headset,chocolate bar"
132,"marshmallows,phone case,phone charger"
133,"sparklers,shampoo,conditioner"
134,phone case
135,"tent,pillowcase"
136,"calculus textbook,crayons,mini-fridge,conditioner,pillow,twin XL sheet set"
137,"charcoal,phone charger"
138,"phone,phone case,batteries"
139,coloring book
140,"marshmallows,bluetooth headset,graham crackers"
141,"phone case,crayons,phone,bluetooth headset,coloring book,chocolate bar"
142,"pillow,crayons,batteries"
143,"shampoo,calculus textbook,coloring book"
144,"sparklers,phone charger,crayons,coloring book"
145,grill brush
146,"RC car,shower caddy"
147,"conditioner,tin foil hat,shampoo,batteries"
148,"phone case,phone,sleeping bag,pillowcase,bluetooth headset,phone charger,sparklers,pillow"
149,"phone charger,bluetooth headset"
150,"RC car,tin foil hat,pillowcase,batteries"
151,crayons
152,"RC car,marshmallows,chocolate bar,batteries,conditioner"
153,"bluetooth headset,phone case,phone charger,phone"
154,"bluetooth headset,phone"
155,RC car
156,"marshmallows,pillow,phone"
157,"marshmallows,batteries"
158,"tin foil hat,phone case,crayons,phone,shampoo,mini-fridge,bluetooth headset,external hard drive,phone charger,coloring book,pillowcase,laptop charger,chocolate bar,pillow,twin XL sheet set"
159,"graham crackers,RC car,external hard drive,phone charger,phone,pillow"
160,"grill brush,shampoo,graham crackers"
161,"marshmallows,chocolate bar,charcoal,laptop,conditioner"
162,"chocolate bar,shampoo,phone charger"
163,"crayons,phone charger,phone,coloring book,chocolate bar,pillow,batteries"
164,"laptop charger,laptop case,laptop"
165,"laptop charger,laptop case,crayons,coloring book"
166,"marshmallows,shampoo,graham crackers"
167,"phone case,tent,pillow,pillowcase,coloring book"
168,"RC car,conditioner"
169,"external hard drive,pillow,laptop case,conditioner"
170,conditioner
171,"phone,shampoo,phone charger,bluetooth headset"
172,"bluetooth headset,phone"
173,"pillowcase,charcoal,tin foil hat,calculus textbook,conditioner"
174,"marshmallows,graham crackers,shampoo,external hard drive,laptop,conditioner,chocolate bar,laptop case,batteries"
175,"pillow,graham crackers"
176,"mini-fridge,laptop case,crayons,phone"
177,"tin foil hat,phone case,shampoo,external hard drive,phone charger,sparklers"
178,"bluetooth headset,phone case,crayons,phone"
179,"shower caddy,crayons,phone,RC car,bluetooth headset,coloring book,pillow,laptop case"
180,"sleeping bag,phone charger,pillowcase,graham crackers"
181,"phone,phone case,phone charger,bluetooth headset"
182,"grill brush,phone,bluetooth headset,phone case,twin XL sheet set"
183,"tent,pillow,phone case,phone"
184,"pillow,charcoal,shampoo,crayons,conditioner"
185,"phone,phone charger,bluetooth headset"
186,"phone case,grill brush,bluetooth headset,charcoal,sleeping bag,phone charger,phone"
187,"RC car,tin foil hat,external hard drive,batteries"
188,"chocolate bar,tin foil hat,external hard drive,conditioner"
189,"grill brush,chocolate bar,charcoal,graham crackers"
190,"marshmallows,shampoo,RC car,coloring book,conditioner,batteries"
191,"chocolate bar,phone case,laptop case,phone charger,bluetooth headset"
192,"RC car,marshmallows,chocolate bar,graham crackers"
193,"marshmallows,pillowcase,conditioner"
194,"marshmallows,tin foil hat,graham crackers,laptop charger,chocolate bar,laptop case"
195,"laptop charger,marshmallows"
196,"RC car,tin foil hat,phone"
197,"phone,tin foil hat,pillow,graham crackers"
198,"phone case,phone"
199,"shower caddy,calculus textbook,shampoo,mini-fridge,pillow,twin XL sheet set"
200,"tin foil hat,crayons,shampoo,sleeping bag,charcoal,bluetooth headset"
201,"grill brush,external hard drive,shampoo"
202,"pillowcase,chocolate bar,tin foil hat,pillow,phone"
203,"phone,marshmallows,phone case,phone charger,bluetooth headset"
204,"bluetooth headset,pillow,shampoo,pillowcase,conditioner"
205,"tent,shower caddy"
206,"calculus textbook,twin XL sheet set"
207,"phone,mini-fridge,pillowcase,bluetooth headset,laptop charger,pillow,laptop case"
208,"phone case,shampoo,bluetooth headset,phone charger,phone,laptop,laptop charger,conditioner"
209,"conditioner,graham crackers"
210,phone case
211,phone case
212,"phone case,phone charger"
213,"mini-fridge,conditioner,tin foil hat,external hard drive,graham crackers"
214,"pillowcase,phone case,external hard drive,shampoo,conditioner"
215,"RC car,crayons,pillow,phone case,bluetooth headset"
216,"coloring book,shampoo,graham crackers"
217,"conditioner,phone case,laptop case,phone charger,bluetooth headset"
218,"phone,shampoo,bluetooth headset"
219,"batteries,phone,shampoo,coloring book,conditioner"
220,"marshmallows,pillowcase,pillow,laptop,phone"
221,"phone,phone case,bluetooth headset"
222,"tin foil hat,phone case,bluetooth headset,phone charger,phone,pillow"
223,"graham crackers,bluetooth headset,pillow,phone charger,phone"
224,"laptop charger,crayons,pillowcase"
225,"phone case,crayons,phone,charcoal,phone charger,bluetooth headset,pillow"
226,"phone case,tin foil hat,phone,shampoo,grill brush,external hard drive,phone charger,bluetooth headset,pillow"
227,"shampoo,pillowcase"
228,"phone,chocolate bar,phone case,phone charger,bluetooth headset"
229,"mini-fridge,grill brush,shampoo,pillowcase,calculus textbook"
230,"phone case,marshmallows,shower caddy,phone charger,bluetooth headset"
231,"pillowcase,phone charger"
232,"bluetooth headset,phone case,phone charger,coloring book"
233,"marshmallows,phone case,phone,shampoo,phone charger,bluetooth headset,laptop charger,chocolate bar"
234,"shower caddy,shampoo,pillowcase,conditioner"
235,"marshmallows,tin foil hat,graham crackers,shampoo,conditioner,chocolate bar,pillow"
236,"tin foil hat,mini-fridge,external hard drive,phone charger,decorations,coloring book"
237,"pillowcase,batteries"
238,"sparklers,shampoo,bluetooth headset"
239,mini-fridge
240,"sparklers,charcoal,shampoo,conditioner"
241,"external hard drive,sparklers,tin foil hat,laptop case,batteries"
242,"phone case,crayons,shampoo,bluetooth headset,phone charger,phone,coloring book"
243,"phone,phone case,phone charger,bluetooth headset"
244,shampoo
245,"phone case,crayons,graham crackers,phone charger,phone,laptop charger"
246,"phone charger,phone"
247,"crayons,bluetooth headset"
248,"chocolate bar,phone"
249,"RC car,graham crackers,chocolate bar,bluetooth headset,phone"
250,"laptop,phone"
251,mini-fridge
252,"marshmallows,chocolate bar,graham crackers"
253,"laptop charger,laptop case,crayons"
254,"marshmallows,tin foil hat,phone case,phone,mini-fridge,phone charger,bluetooth headset"
255,"marshmallows,chocolate bar,external hard drive,graham crackers"
256,"tin foil hat,phone case,crayons,external hard drive,phone charger,decorations,laptop charger,pillow"
257,"laptop charger,phone charger,graham crackers"
258,"pillow,phone charger,coloring book"
259,"marshmallows,sparklers,calculus textbook"
260,phone case
261,"chocolate bar,pillow"
262,"shampoo,pillowcase"
263,"phone case,phone charger"
264,"marshmallows,chocolate bar,external hard drive,shampoo,phone"
265,"conditioner,shampoo,pillowcase,bluetooth headset"
266,RC car
267,"laptop,laptop charger,phone case,pillowcase"
268,"marshmallows,chocolate bar,graham crackers"
269,"grill brush,sparklers,shower caddy,twin XL sheet set"
270,"phone case,phone charger,bluetooth headset"
271,"laptop,pillowcase"
272,"marshmallows,phone case,graham crackers,conditioner,bluetooth headset,pillowcase,phone,phone charger,coloring book,chocolate bar,pillow,laptop case"
273,"chocolate bar,tin foil hat"
274,"crayons,pillowcase,coloring book,chocolate bar,pillow,laptop case"
275,"RC car,tin foil hat,phone charger,batteries"
276,"phone case,shampoo,bluetooth headset,external hard drive,phone charger,phone"
277,"phone,phone case,phone charger,bluetooth headset"
278,"graham crackers,pillow,calculus textbook,conditioner"
279,"laptop case,phone charger,phone"
280,"chocolate bar,phone charger,calculus textbook,bluetooth headset"
281,shampoo
282,"shower caddy,graham crackers,mini-fridge,charcoal,laptop,calculus textbook"
283,"marshmallows,phone case,graham crackers,phone,bluetooth headset,external hard drive,phone charger,conditioner,chocolate bar,laptop case"
284,"marshmallows,crayons,graham crackers,chocolate bar,shampoo,coloring book,conditioner,pillow"
285,"mini-fridge,marshmallows,shower caddy,external hard drive"
286,"conditioner,pillow,shampoo,pillowcase,coloring book"
287,"chocolate bar,pillow"
288,"tent,phone case,graham crackers,charcoal,phone charger,calculus textbook"
289,"phone case,graham crackers,RC car,phone charger,phone,batteries"
290,"graham crackers,chocolate bar,shampoo,crayons,coloring book"
291,"laptop charger,laptop case"
292,"phone case,phone charger,pillow"
293,"phone case,crayons,bluetooth headset"
294,"grill brush,pillow,phone charger,pillowcase"
295,"shampoo,bluetooth headset,conditioner,chocolate bar,pillow,batteries"
296,"marshmallows,phone case,graham crackers,phone,decorations,bluetooth headset,phone charger"
297,"shampoo,phone charger,conditioner"
298,"marshmallows,phone case,graham crackers,phone,phone charger,bluetooth headset"
299,"phone,phone charger,bluetooth headset"
300,"phone case,shampoo,phone charger,batteries"
301,"phone case,grill brush,charcoal,external hard drive,decorations,sparklers"
302,"marshmallows,bluetooth headset,external hard drive,phone"
303,"chocolate bar,pillowcase,phone"
304,"grill brush,marshmallows,tin foil hat,coloring book"
305,"phone,phone case,external hard drive,bluetooth headset"
306,pillowcase
307,"phone case,graham crackers,phone,external hard drive,phone charger,bluetooth headset,conditioner"
308,"conditioner,laptop case,twin XL sheet set"
309,"RC car,laptop charger,phone case,laptop,phone"
310,"conditioner,RC car,sparklers,tin foil hat,bluetooth headset"
311,"marshmallows,phone charger,calculus textbook,phone"
312,"phone case,phone charger,phone"
313,"RC car,phone case,phone"
314,"coloring book,tent,conditioner"
315,"phone,bluetooth headset,phone case,conditioner"
316,"coloring book,phone charger,phone"
317,"laptop charger,marshmallows,pillow,laptop,phone case"
318,"laptop case,external hard drive,pillowcase"
319,"laptop,pillowcase,pillow,crayons"
320,"phone,bluetooth headset,phone case,marshmallows,coloring book"
321,"grill brush,sparklers,shampoo,batteries"
322,"marshmallows,chocolate bar,graham crackers"
323,"RC car,shampoo,conditioner"
324,"pillow,shampoo,crayons,graham crackers"
325,"bluetooth headset,phone case,phone charger,phone"
326,"grill brush,charcoal,decorations,pillowcase,sparklers,pillow,calculus textbook"
327,"phone case,phone,shampoo,pillowcase,bluetooth headset,laptop,conditioner"
328,"phone,phone case,phone charger,bluetooth headset"
329,"phone,graham crackers"
330,"marshmallows,shampoo,phone charger,conditioner"
331,laptop charger
332,"mini-fridge,pillow,pillowcase,batteries"
333,"bluetooth headset,phone charger,phone"
334,"phone,phone case,bluetooth headset"
335,pillowcase
336,"RC car,external hard drive,coloring book"
337,"pillowcase,sleeping bag,tin foil hat,shampoo,decorations"
338,"conditioner,pillow,laptop case,laptop,phone"
339,"crayons,tin foil hat,laptop case,laptop,pillow"
340,graham crackers
341,"twin XL sheet set,marshmallows,chocolate bar,pillow,graham crackers"
342,"tin foil hat,phone charger,phone case"
343,"bluetooth headset,phone case,phone charger,phone"
344,"tin foil hat,phone charger,bluetooth headset"
345,"tin foil hat,shampoo,phone case,coloring book"
346,"phone case,bluetooth headset,phone charger,phone,pillowcase,pillow"
347,"phone,shampoo,laptop,conditioner,laptop charger,laptop case"
348,"batteries,chocolate bar,shampoo,graham crackers"
349,"sparklers,tin foil hat,laptop case,shampoo,conditioner"
350,"bluetooth headset,phone charger,phone"
351,"coloring book,conditioner,laptop case,shampoo,batteries"
352,"marshmallows,graham crackers,phone charger,conditioner,pillow,batteries"
353,"RC car,coloring book,conditioner"
354,"sparklers,laptop"
355,"phone case,external hard drive,graham crackers"
356,"phone,phone case,phone charger,bluetooth headset"
357,"phone case,bluetooth headset,phone charger,phone,decorations,pillowcase"
358,"chocolate bar,tin foil hat,shampoo,phone charger"
359,"twin XL sheet set,phone,shower caddy,pillow,batteries"
360,"coloring book,bluetooth headset,shampoo,phone charger,conditioner"
361,"sparklers,charcoal"
362,"tent,phone case,tin foil hat,RC car,bluetooth headset,phone charger,phone,pillow"
363,"phone case,shampoo,bluetooth headset,external hard drive,phone charger,phone,conditioner"
364,"chocolate bar,pillow,phone"
365,"phone case,shampoo,grill brush,bluetooth headset,phone charger,phone,conditioner"
366,"phone,phone case,shampoo,phone charger,bluetooth headset"
367,"laptop charger,phone"
368,crayons
369,"tent,shampoo,bluetooth headset,phone charger,pillowcase,laptop case"
370,"phone,tin foil hat,phone charger,phone case,coloring book"
371,"laptop charger,phone,shampoo,conditioner"
372,"phone case,crayons,phone,phone charger,bluetooth headset,pillow"
373,"crayons,graham crackers,grill brush,charcoal,pillowcase,phone"
374,"batteries,bluetooth headset,phone case,phone charger,phone"
375,marshmallows
376,"marshmallows,shampoo"
377,"marshmallows,crayons,laptop,coloring book"
378,"phone,tin foil hat,phone case,phone charger,bluetooth headset"
379,"crayons,graham crackers,chocolate bar,shampoo,laptop,coloring book,pillowcase,conditioner,pillow"
380,"batteries,external hard drive,shampoo,phone"
381,"charcoal,batteries"
382,"sparklers,crayons,twin XL sheet set"
383,"shampoo,calculus textbook"
384,"marshmallows,chocolate bar,crayons"
385,conditioner
386,"conditioner,phone charger,phone"
387,"marshmallows,chocolate bar,laptop case,crayons,graham crackers"
388,"sleeping bag,laptop,phone"
389,"marshmallows,phone case,shampoo,pillow"
390,"marshmallows,phone case,crayons,phone,shampoo,RC car,bluetooth headset,phone charger,conditioner,coloring book,chocolate bar"
391,"RC car,laptop,pillowcase,coloring book,chocolate bar,pillow"
392,"RC car,chocolate bar"
393,"bluetooth headset,phone case,external hard drive,phone charger,phone"
394,"phone case,laptop case,phone charger,phone"
395,"phone case,conditioner,shampoo,phone charger,phone,chocolate bar"
396,"pillow,laptop case,crayons,coloring book"
397,"RC car,charcoal,decorations,crayons,batteries"
398,"bluetooth headset,pillow,external hard drive,batteries"
399,"phone,graham crackers"
